"Destination Address","Destination Address"
"Edit essential shipping settings before batch processing selected orders.","Edit essential shipping settings before batch processing selected orders."
"Enable Interactive Mass Action","Enable Interactive Mass Action"
"If you want to select packaging or shipping product per order, then it is recommended to enable interactive mass action and to disable fully automated cron processing.","If you want to select packaging or shipping product per order, then it is recommended to enable interactive mass action and to disable fully automated cron processing."
"Interactive Mass Action","Interactive Mass Action"
"Order Items","Order Items"
"Selected orders cannot be processed.","Selected orders cannot be processed."
